wu,wr,wd,wl,x_a,y_a,x_s,y_s,au,ar,ad,al,direction
280,400,280,400,752,232,400,280,0,1,1,0,2
288,400,272,400,752,232,400,272,0,1,1,0,2
296,400,264,400,752,232,400,264,0,1,1,0,2
304,400,256,400,752,232,400,256,0,1,1,0,2
312,400,248,400,752,232,400,248,0,1,1,0,2
320,400,240,400,752,232,400,240,0,1,1,0,2
328,400,232,400,752,232,400,232,0,1,0,0,1
328,392,232,408,752,232,408,232,0,1,0,0,1
328,384,232,416,752,232,416,232,0,1,0,0,1
328,376,232,424,752,232,424,232,0,1,0,0,1
328,368,232,432,752,232,432,232,0,1,0,0,1
328,360,232,440,752,232,440,232,0,1,0,0,1
328,352,232,448,752,232,448,232,0,1,0,0,1
328,344,232,456,752,232,456,232,0,1,0,0,1
328,336,232,464,752,232,464,232,0,1,0,0,1
328,328,232,472,752,232,472,232,0,1,0,0,1
328,320,232,480,752,232,480,232,0,1,0,0,1
328,312,232,488,752,232,488,232,0,1,0,0,1
328,304,232,496,752,232,496,232,0,1,0,0,1
328,296,232,504,752,232,504,232,0,1,0,0,1
328,288,232,512,752,232,512,232,0,1,0,0,1
328,280,232,520,752,232,520,232,0,1,0,0,1
328,272,232,528,752,232,528,232,0,1,0,0,1
328,264,232,536,752,232,536,232,0,1,0,0,1
328,256,232,544,752,232,544,232,0,1,0,0,1
328,248,232,552,752,232,552,232,0,1,0,0,1
328,240,232,560,752,232,560,232,0,1,0,0,1
328,232,232,568,752,232,568,232,0,1,0,0,1
328,224,232,576,752,232,576,232,0,1,0,0,1
328,216,232,584,752,232,584,232,0,1,0,0,1
328,208,232,592,752,232,592,232,0,1,0,0,1
328,200,232,600,752,232,600,232,0,1,0,0,1
328,192,232,608,752,232,608,232,0,1,0,0,1
328,184,232,616,752,232,616,232,0,1,0,0,1
328,176,232,624,752,232,624,232,0,1,0,0,1
328,168,232,632,752,232,632,232,0,1,0,0,1
328,160,232,640,752,232,640,232,0,1,0,0,1
328,152,232,648,752,232,648,232,0,1,0,0,1
328,144,232,656,752,232,656,232,0,1,0,0,1
328,136,232,664,752,232,664,232,0,1,0,0,1
328,128,232,672,752,232,672,232,0,1,0,0,1
328,120,232,680,752,232,680,232,0,1,0,0,1
328,112,232,688,752,232,688,232,0,1,0,0,1
328,104,232,696,752,232,696,232,0,1,0,0,1
328,96,232,704,752,232,704,232,0,1,0,0,1
328,88,232,712,752,232,712,232,0,1,0,0,1
328,80,232,720,752,232,720,232,0,1,0,0,1
328,72,232,728,752,232,728,232,0,1,0,0,1
328,64,232,736,456,136,736,232,0,0,1,1,2
336,64,224,736,456,136,736,224,0,0,1,1,2
344,64,216,736,456,136,736,216,0,0,1,1,2
352,64,208,736,456,136,736,208,0,0,1,1,2
360,64,200,736,456,136,736,200,0,0,1,1,2
368,64,192,736,456,136,736,192,0,0,1,1,2
376,64,184,736,456,136,736,184,0,0,1,1,2
384,64,176,736,456,136,736,176,0,0,1,1,2
392,64,168,736,456,136,736,168,0,0,1,1,2
400,64,160,736,456,136,736,160,0,0,1,1,2
408,64,152,736,456,136,736,152,0,0,1,1,2
416,64,144,736,456,136,736,144,0,0,1,1,2
424,64,136,736,456,136,736,136,0,0,0,1,3
424,72,136,728,456,136,728,136,0,0,0,1,3
424,80,136,720,456,136,720,136,0,0,0,1,3
424,88,136,712,456,136,712,136,0,0,0,1,3
424,96,136,704,456,136,704,136,0,0,0,1,3
424,104,136,696,456,136,696,136,0,0,0,1,3
424,112,136,688,456,136,688,136,0,0,0,1,3
424,120,136,680,456,136,680,136,0,0,0,1,3
424,128,136,672,456,136,672,136,0,0,0,1,3
424,136,136,664,456,136,664,136,0,0,0,1,3
424,144,136,656,456,136,656,136,0,0,0,1,3
424,152,136,648,456,136,648,136,0,0,0,1,3
424,160,136,640,456,136,640,136,0,0,0,1,3
424,168,136,632,456,136,632,136,0,0,0,1,3
